Name	Accessions	Description	References
Tn4399	L20975	Tn4399 is a 9.6-kb conjugal transposon from Bacteroides fragilis. It contains a 2.8-kb mobilisation cassette (mocA and mocB gene).	Murphy, C. G., & Malamy, M. H. (1993). Characterization of a “mobilization cassette” in transposon Tn4399 from Bacteroides fragilis. Journal of Bacteriology, 175(18), 5814–5823. DOI: 10.1128/jb.175.18.5814-5823.1993 Hecht, DW, et al. (1989). Characterization of the termini and transposition products of Tn4399, a conjugal mobilizing transposon of Bacteroides fragilis. Proceedings of the National Academy of Sciences of the United States of America, 86(14), 5340–5344. DOI: 10.1128/jb.171.7.3603-3608.1989
Tn4400	NA	Tn4400 is a composite transposon isolated from Bacteroides fragilis. It is almost identical to Tn4351, by containing tetX and ermF resistance genes, flanked by direct repeats of IS4400. There is a 4-bp different at the upstream region of tetX between both transposon.	Speer, B. S., Bedzyk, L., & Salyers, A. A. (1991). Evidence that a novel tetracycline resistance gene found on two Bacteroides transposons encodes an NADP-requiring oxidoreductase. Journal of Bacteriology, 173(1), 176–183. DOI: 10.1128/jb.173.1.176-183.1991 Robillard, N. J., Tally, F. P., & Malamy, M. H. (1985). Tn4400, a compound transposon isolated from Bacteroides fragilis, functions in Escherichia coli. Journal of Bacteriology, 164(3), 1248–1255. PMID: 2999075
Tn4401	KT378596.1	Tn4401 is a 10 kb transposon related to Tn3-family. It carries a blaKPC gene that mediates resistance to carbapenems.	Cuzon, G., Naas, T., & Nordmann, P. (2011). Functional characterization of Tn4401, a Tn3-based transposon involved in blaKPC gene mobilization.Antimicrobial Agents and Chemotherapy, 55(11), 5370-5373. DOI: 10.1128/AAC.05202-11
Tn4411	NA	Tn4411 is a kanamycin resistance transposon. It was detected within plasmid pAV51 of Acinetobacter calcoaceticus.	Divers M., Craven, P. L., & Vivian, A. (1985). Molecular analysis of an antibiotic resistance plasmid, pAV5, and its derivative plasmids in Acinetobacter calcoaceticus. Microbiology, 131(12), 3367-3374. DOI: 10.1099/00221287-131-12-3367
Tn4430	X07651.1	Tn4430 is a 4.2 kb transposon originally detected in Bacillus thuringiensis. Tn4430 is closely related to the transposons belonging to the Tn3-family	Lereclus, D., Mahillon, J., Menou, G., & Lecadet, M. M. (1986). Identification of Tn4430, a transposon of Bacillus thuringiensis functional in Escherichia coli. Molecular and General Genetics MGG, 204(1), 52-57. Link: https://link.springer.com/article/10.1007/BF00330186
Tn4431	NA	Tn4431 is an artificial transposon generated by inserting five lux genes into a Tn1721 derivative. It carries a tetracycline resistance determinant.	Steinmann, D., Wiggerich, H. G., Klauke, B., Schramm, U., Pühler, A., & Priefer, U. B. (1993). Saturation mutagenesis in Escherichia coli of a cloned Xanthomonas campestris DNA fragment with the lux transposon Tn4431 using the delivery plasmid pDS1, thermosensitive in replication. Applied Microbiology and Biotechnology, 40(2), 356-360. Link: https://link.springer.com/content/pdf/10.1007%2FBF00170392.pdf
Tn4451	U15027.1	Tn4451 is a 6.33 kb chloramphenicol-resistance transposon detected in plasmid, plP401 of Clostridium perfringens.	Abraham, L. J., & Rood, J. I. (1987). Identification of Tn4451 and Tn4452, chloramphenicol resistance transposons from Clostridium perfringens. Journal of Bacteriology, 169(4), 1579-1584. DOI: 10.1128/jb.169.4.1579-1584.1987 Bannam, T. L., Crellin, P. K., & Rood, J. I. (1995). Molecular genetics of the chloramphenicol‐resistance transposon Tn4451 from Clostridium perfringens: the TnpX site‐specific recombinase excises a circular transposon molecule. Molecular Microbiology, 16(3), 535-551. DOI: 10.1111/j.1365-2958.1995.tb02417.x
Tn4452	NA	Tn4452 is a 6.2 kb transposon which is identical for most of their length to Tn4451 and differed only at its right-hand end.	Abraham, L. J., & Rood, J. I. (1987). Identification of Tn4451 and Tn4452, chloramphenicol resistance transposons from Clostridium perfringens. Journal of Bacteriology, 169(4), 1579-1584. DOI:10.1128/jb.169.4.1579-1584.1987
Tn4521	M35123|AH000905	Tn4521 is a composite transposon found in Escherichia coli. It contains enterotoxin STII gene, flanked by two truncated IS2 elements	Hu, S. T. and C. H. Lee (1988). Characterization of the transposon carrying the STII gene of enterotoxigenic Escherichia coli. Mol Gen Genet 214(3): 490-495. DOI: 10.1007/BF00330485
Tn4527	NA	Tn4527 is a 19.6-kb composite transposon, related to Tn7. It is isolated from a multiresistant Salmonella typhimurium, and contains genes conferring trimethoprim, spectinomycin, and streptomycin, flanked by direct repeats of IS1 elements.	Dumans, A. T., et al. (1989). Tn4527, a Tp Sp/Sm transposon related to Tn7 and flanked by IS1. Plasmid 22(3): 256-259. Tn4527 DOI: 10.1016/0147-619X(89)90009-7
Tn4551	M17808	Tn4551 is located on plasmid pBI136 from Bacteroides fragilis. It contains IS4351, ermFS and aadS genes.  .	Smith, C. J., et al. (1992). Activation of a cryptic streptomycin-resistance gene in the Bacteroides erm transposon, Tn4551. Mol Microbiol 6(16): 2287-2297. DOI: 10.1111/j.1365-2958.1992.tb01404.x
Tn4555	U75371	Tn4555 is a 12.1-kb transposon, isolated from Bacteroides vulgatus. It carries genes, encoding an extended spectrum β-lactamase (cfxA), TnpA (tnpA), integrase (int), TnpC (tnpC), excisionase (xis), and mobilization protein (mobA).	Bacic, M. K. and C. J. Smith (2005). "Analysis of chromosomal insertion sites for Bacteroides Tn4555 and the role of TnpA." Gene 353(1): 80-88. DOI: 10.1016/j.gene.2005.03.014
Tn4556	NA	Tn4556 is a 6.6-kb Tn3-related transposon, isolated from Streptomyces fradiae.	Chung, S. T. (1987). Tn4556, a 6.8-kilobase-pair transposable element of Streptomyces fradiae. Journal of Bacteriology, 169(10), 4436–4441. DOI: 10.1128/jb.169.10.4436-4441.1987
Tn4560	NA	Tn4560 is an 8.6-kb transposon, derived from Tn4556. It contains tnpA (transposase), tnpR (resolvase) and vph (viomycin phosphotransferase) genes.	Bhatt, A., et al. (2002). Transposition of Tn4560 of Streptomyces fradiae in Mycobacterium smegmatis. FEMS Microbiol Lett 206(2): 241-246. DOI: 10.1111/j.1574-6968.2002.tb11016.x
Tn4563	NA	Tn4563 is an 8.6-kb transposon, derived from Tn4556. It contains tnpA (transposase), tnpR (resolvase) and vph (viomycin phosphotransferase) genes.	Schauer, A. T., Nelson, A. D., & Daniel, J. B. (1991). Tn4563 transposition in Streptomyces coelicolor and its application to isolation of new morphological mutants. Journal of Bacteriology, 173(16), 5060–5067. DOI: 10.1128/jb.173.16.5060-5067.1991
Tn4651	NA	Tn4651 is a 56-kb transposon, related to Tn3, which is found on plasmid pWW0 from Pseudomonas putida. It contains toluene-degrading (xyl) genes, flanked by direct repeats of IS1246 elements.	Genka, H., Nagata, Y., & Tsuda, M. (2002). Site-Specific Recombination System Encoded by Toluene Catabolic Transposon Tn4651. Journal of Bacteriology, 184(17), 4757–4766. DOI: 10.1128/JB.184.17.4757-4766.2002 Tsuda, M., Minegishi, K., & Iino, T. (1989). Toluene transposons Tn4651 and Tn4653 are class II transposons. Journal of Bacteriology, 171(3), 1386–1393. DOI: 10.1128/jb.171.3.1386-1393.1989
Tn4652	NA	Tn4652 is a 17-kb transposon, which is a derivative of transposon Tn4651 by a deletion of 39-kb DNA fragment, containing toluene degradation genes.	Tsuda, M., Minegishi, K., & Iino, T. (1989). Toluene transposons Tn4651 and Tn4653 are class II transposons. Journal of Bacteriology, 171(3), 1386–1393. DOI: 10.1128/jb.171.3.1386-1393.1989 Tsuda, M. and T. Iino (1987). Genetic analysis of a transposon carrying toluene degrading genes on a TOL plasmid pWW0. Mol Gen Genet 210(2): 270-276. DOI: 10.1007/BF00325693
Tn4653	NA	Tn4653 is related to Tn4651 and is also found on plasmid pWW0 from Pseudomonas. It contains Tn4651 (containing toluene degradation xyl gene) with an addition of tnpA and tnpR genes.	Tsuda, M., Minegishi, K., & Iino, T. (1989). Toluene transposons Tn4651 and Tn4653 are class II transposons. Journal of Bacteriology, 171(3), 1386–1393. DOI: 10.1128/jb.171.3.1386-1393.1989 Tsuda, M. and T. Iino (1988). "Identification and characterization of Tn4653, a transposon covering the toluene transposon Tn4651 on TOL plasmid pWW0." Mol Gen Genet 213(1): 72-77. DOI: 10.1007/BF00333400
Tn4654	NA	Tn4654 is a derivative of transposon Tn4653 with a deletion of 39-kb DNA fragment, containing toluene degradation genes.	Tsuda, M., Minegishi, K., & Iino, T. (1989). Toluene transposons Tn4651 and Tn4653 are class II transposons. Journal of Bacteriology, 171(3), 1386–1393. DOI: 10.1128/jb.171.3.1386-1393.1989
Tn4655	AB237655	Tn4655 is a 39-kb transposon which is found on a self-transmissible plasmid NAH7 from Pseudomonas putida. It carries 33 ORFs, which 23 of them are naphthalene-catabolic (nah) genes.	Sota, M., et al. (2006). Genomic and Functional Analysis of the IncP-9 Naphthalene-Catabolic Plasmid NAH7 and Its Transposon Tn4655 Suggests Catabolic Gene Spread by a Tyrosine Recombinase. Journal of Bacteriology, 188(11), 4057–4067. DOI: 10.1128/JB.00185-06
Tn4656	AB238971	Tn4656 is a 39-kb transposon, which is found on a plasmid pWW5 from Pseudomonas putida. It contains toluene-degrading (xyl) genes.	Tsuda, M., & Genka, H. (2001). Identification and Characterization of Tn4656, a Novel Class II Transposon Carrying a Set of Toluene-Degrading Genes  from TOL Plasmid pWW53. Journal of Bacteriology, 183(21), 6215–6224. DOI: 10.1128/JB.183.21.6215-6224.2001
Tn4657	AB238971	Tn4657 is an 86-kb transposon, which is found on a plasmid pWW53 from Pseudomonas putida MT53. It composes of Tn4658, Tn4659 and Tn4660 (containing xyl genes for toluene catabolism).	Yano, H., et al. (2007). "Complete sequence determination combined with analysis of transposition/site-specific recombination events to explain genetic organization of IncP-7 TOL plasmid pWW53 and related mobile genetic elements." J Mol Biol 369(1): 11-26. DOI: 10.1016/j.jmb.2007.02.098
Tn4658	AB238971	Tn4658 is a 5.7-kb transposon, which is a part of Tn4657. It contains tnpA-res-tnpR region, which is similar to Tn21-type transposon.	Yano, H., et al. (2007). "Complete sequence determination combined with analysis of transposition/site-specific recombination events to explain genetic organization of IncP-7 TOL plasmid pWW53 and related mobile genetic elements." J Mol Biol 369(1): 11-26. DOI: 10.1016/j.jmb.2007.02.098
Tn4659	AB238971	Th4659 is a 3.7-kb transposon, which is a part of Tn4657. It carries only the transposition-related genes.	Yano, H., et al. (2007). "Complete sequence determination combined with analysis of transposition/site-specific recombination events to explain genetic organization of IncP-7 TOL plasmid pWW53 and related mobile genetic elements." J Mol Biol 369(1): 11-26. DOI: 10.1016/j.jmb.2007.02.098
Tn4660	AB238971	Tn4660 is a 62-kb transposon, which is a part of Tn4657. It carries all of the 36 xyl genes for toluene catabolism.	Yano, H., et al. (2007). "Complete sequence determination combined with analysis of transposition/site-specific recombination events to explain genetic organization of IncP-7 TOL plasmid pWW53 and related mobile genetic elements." J Mol Biol 369(1): 11-26. DOI: 10.1016/j.jmb.2007.02.098
Tn4661	AB375440	Tn4661 is a Tn4651-related transposon with a size of 13 kb, which is located on plasmid Rms148 in Pseudomonas aeruginosa. It contains tnpA, tnpS and tnpT genes.	Yano, H., et al. (2013). "Cointegrate-resolution of toluene-catabolic transposon Tn4651: determination of crossover site and the segment required for full resolution activity." Plasmid 69(1): 24-35. DOI: 10.1016/j.plasmid.2012.07.004
Tn4671	AB063332	Tn4671 is a 8.4-kb transposon (similar to Tn5053), which is found on plasmid pUO1 from Delftia acidovorans. It carries genes, conferring mercury resistance.	Sota, M., Kawasaki, H., & Tsuda, M. (2003). Structure of Haloacetate-Catabolic IncP-1β Plasmid pUO1 and Genetic Mobility of Its Residing Haloacetate-Catabolic Transposon. Journal of Bacteriology, 185(22), 6741–6745. DOI: 10.1128/JB.185.22.6741-6745.2003
Tn4672	AB063332	Tn4672 is an 11.9-kb transposon, which is found on plasmid pUO1 from Delftia acidovorans. It contains Tn4671 (mercury resistance) with an addition of orf6-orf10 and invA (DNA invertase) genes.	Sota, M., Kawasaki, H., & Tsuda, M. (2003). Structure of Haloacetate-Catabolic IncP-1β Plasmid pUO1 and Genetic Mobility of Its Residing Haloacetate-Catabolic Transposon. Journal of Bacteriology, 185(22), 6741–6745. DOI: 10.1128/JB.185.22.6741-6745.2003
Tn4676	AB088420	Tn4676 is a 73-kb transposon, found on a plasmid pCAR1 isolated from Pseudomonas resinovorans. It carries car operon (carbazole-degradative genes) and ant operon (anthranilate degradative genes). Therefore, it can mediate the degradation of carbazole into anthranilate, which can be degraded into catechol.	Maeda, K., et al. (2003). "Complete nucleotide sequence of carbazole/dioxin-degrading plasmid pCAR1 in Pseudomonas resinovorans strain CA10 indicates its mosaicity and the presence of large catabolic transposon Tn4676." J Mol Biol 326(1): 21-33. DOI: 10.1016/S0022-2836(02)01400-6
Tn4731	NA	Tn4731 is tetracycline resistant composite transposon associated with IS630.	Tenzen, T., Matsutani, S., & Ohtsubo, E. (1990). Site-specific transposition of insertion sequence IS630. Journal of Bacteriology, 172(7), 3830-3836. PMCID: PMC213363 Tenzen, T., & Ohtsubo, E. (1991). Preferential transposition of an IS630-associated composite transposon to TA in the 5'-CTAG-3'sequence. Journal of Bacteriology, 173(19), 6207-6212. PMCID: PMC208372
Tn4811	Z11519	Tn4811 is a 5.4-kb transposon, found on plasmid pIJ702 from Streptomyces antibioticus. It contains five putative ORFs, coding for an oxidoreductase and its transcription regulator, and three transposition-related proteins.	Chen, C. W., Yu, T. W., Chung, H. M., & Chou, C. F. (1992). Discovery and characterization of a new transposable element, Tn4811, in Streptomyces lividans 66. Journal of Bacteriology, 174(23), 7762–7769. DOI: 10.1128/jb.174.23.7762-7769.1992
Tn5030	NA	Tn5030 is a 45-kb transposon, found in Bacteroides species. It contains clindamycin resistance gene (ermFU) and tetracycline resistance gene tetF.	Halula, M. and F. L. Macrina (1990). "Tn5030: a conjugative transposon conferring clindamycin resistance in Bacteroides species." Rev Infect Dis 12 Suppl 2: S235-242. DOI: 10.1093/clinids/12.Supplement_2.S235
Tn5031	NA	Tn5031 is a Tn916-family transposon, isolated from clinical isolate of Enterococcus faecium. It contains tet(M) gene, conferring tetracycline resistance gene.	Fletcher, H. M., et al. (1989). "Transposon-916-like elements in clinical isolates of Enterococcus faecium." J Gen Microbiol 135(11): 3067-3077. DOI: 10.1099/00221287-135-11-3067
Tn5032	NA	Tn5032 is a Tn916-family transposon, isolated from clinical isolate of Enterococcus faecium. It contains tet(M) gene, conferring tetracycline resistance gene.	Fletcher, H. M., et al. (1989). "Transposon-916-like elements in clinical isolates of Enterococcus faecium." J Gen Microbiol 135(11): 3067-3077. DOI: 10.1099/00221287-135-11-3067
Tn5033	NA	Tn5033 is a Tn916-family transposon, isolated from clinical isolate of Enterococcus faecium. It contains tet(M) gene, conferring tetracycline resistance gene.	Fletcher, H. M., et al. (1989). "Transposon-916-like elements in clinical isolates of Enterococcus faecium." J Gen Microbiol 135(11): 3067-3077. DOI: 10.1099/00221287-135-11-3067
Tn5036	Y09025	Tn5036 is an 8-kb Tn21-related transposon, which is isolated from Enterobacter cloacae from intestine of a yellow belly toadin Carpathia. It is closely related to Tn3926 and contains mer operon (conferring mercury resistance).	Yurieva, O., et al. (1997). "Intercontinental spread of promiscuous mercury-resistance transposons in environmental bacteria." Mol Microbiol 24(2): 321-329. DOI: 10.1046/j.1365-2958.1997.3261688.x
Tn5037	AJ251743	Tn5037 is a 6.6-kb Tn21-like transposon, detected in Thiobacillus ferrooxidans. It contains a mer operon, conferring mercury resistance.	Kaliaeva, E. S., et al. (2001). Tn5037-a Tn21-like mercury transposon, detected in Thiobacillus ferrooxidans. Genetika 37(8): 1160-1164. PMID: 11642118
Tn5041	X98999	Tn5041 is a 14.9-kb Tn3-family transposon, identified in a Pseudomonas strain from a mercury mine. It contains mer operon, conferring mercury resistance. The putative transposase and the 47 bp terminal inverted repeats of Tn5041 are closely  related to those of the toluene degradative transposon Tn4651.	Kholodii, G. Y., et al. (1997). "Tn5041: a chimeric mercury resistance transposon closely related to the toluene degradative transposon Tn4651." Microbiology 143 ( Pt 8): 2549-2556. DOI: 10.1099/00221287-143-8-2549
Tn5042	AJ563380	Tn5042 is a 7-kb transposon, isolated from Pseudomonas strains isolated from permafrost samples. It contains mer operon (merRTPCAB), conferring mercury resistance. It was hypothesised to be originated from Tn5041 with two deletions events and an insertion of a merB gene.	Mindlin, S., et al. (2005). "Present-day mercury resistance transposons are common in bacteria preserved in permafrost grounds since the Upper Pleistocene." Research in microbiology 156(10): 994-1004. DOI: 10.1016/j.resmic.2005.05.011
Tn5044	Y17691	Tn5044 is a 10-kb Tn3 family transposon, isolated from Xanthomonas campestris. It contains mercury operon (merRTPCA), conferring mercury resistance. Its transpostion module was closely related to those from Tn1412 and Tn5563.	Kholodii, G., et al. (2000). "Tn5044, a novel Tn3 family transposon coding for temperature-sensitive mercury resistance." Research in Microbiology 151(4): 291-302. DOI: 10.1016/S0923-2508(00)00149-2
Tn5045	FN821089	Tn5045 is a 22-kb transposon, isolated from a permafrost strain of Pseudomonas sp. It composes of three genetic elements: Tn1013-like Tn3 family transposon (tnpA and tnpR genes), class 1 integron (integrase, aadA2 gene cassette, qacE∆1 and sul1 gene), and TnOtChr-like Tn3 family transposon (chromate resistance genes chrB, A, C, F).	Petrova, M., et al. (2011). "Tn5045, a novel integron-containing antibiotic and chromate resistance transposon isolated from a permafrost bacterium." Research in Microbiology 162(3): 337-345. DOI: 10.1016/j.resmic.2011.01.003
Tn5046	Y18360	Tn5046 is a 10-kb transposon, isolated from the Pseudomonas sp. LS46-6 strain. The sequence data suggest that Tn5046 is a chimera with the mer operon (related to Tn5041) and the transposition module (related to Tn5044).	Mindlin, S., et al. (2001). "Mercury resistance transposons of gram-negative environmental bacteria and their classification." Res Microbiol 152(9): 811-822. DOI: 10.1016/S0923-2508(01)01265-7
Tn5053	L40585	Tn5053 is a 8.4-kb transposon, isolated from Xanthomonas sp. W17. It contains mercury operon (merR and merTPAD) and a part of integron.	Kholodii, G. Y., et al. (1993). "Tn5053, a mercury resistance transposon with integron's ends." J Mol Biol 230(4): 1103-1107. DOI: 10.1006/jmbi.1993.1228
Tn5056	AJ302763|AJ302764|AJ302765|AJ302766|AJ302767|AJ302768	Tn5056 is a mercury resistance transposon. It is similar to Tn5058, which contains mer1 and mer2 operon, with the insertion of an extra 1.2-kb segment into the Tn5056 mer2 locus of 1.2 kb.	Mindlin, S., et al. (2005). "Present-day mercury resistance transposons are common in bacteria preserved in permafrost grounds since the Upper Pleistocene." Res Microbiol 156(10): 994-1004. DOI: 10.1016/j.resmic.2005.05.011
Tn5058	Y17897.1	Tn5058 is a 12-kb Tn5053 family transposon, which can be found on a plasmid pMCBF6. It contains mer operon, conferring mercury resistance.	Norberg, P., et al. (2014). Complete Nucleotide Sequence and Analysis of Two Conjugative Broad Host Range Plasmids from a Marine Microbial Biofilm. PLoS ONE, 9(3), e92321. DOI: 10.1371/journal.pone.0092321
Tn5060	AJ551280	Tn5060 is a 8.7-kb transposon, which is isolated from Pseudomonas sp. A19-1. It contains mer operon (urf-2 and merEDACPTR, conferring mercury resistance.	Kholodii, G., et al. (2003). "Tn5060 from the Siberian permafrost is most closely related to the ancestor of Tn21 prior to integron acquisition." FEMS Microbiol Lett 226(2): 251-255. DOI: 10.1016/S0378-1097(03)00559-7
Tn5062	AJ566337	Tn5062 is a 3.4-kb mini-transposon, constructed based on Tn5 for transposon mutagenesis. It carries the RP4 oriT, a promoterless eGFP and apramycin resistance gene aac(IV).	Bishop, A., et al. (2004). Systematic Insertional Mutagenesis of a Streptomycete Genome: A Link Between Osmoadaptation and Antibiotic Production. Genome Research, 14(5), 893–900. DOI: 10.1101/gr.1710304
Tn5070	Y17830	Tn5070 is a 7-kb transposon, isolated from Shewanella putrefaciens BW13. The transposition module of Tn5070 is related to that of Tn3 and the mer operon on Tn5070 is related to mer operon on plasmid pMERPH.	Mindlin, S., et al. (2001). "Mercury resistance transposons of gram-negative environmental bacteria and their classification." Res Microbiol 152(9): 811-822. DOI: 10.1016/S0923-2508(01)01265-7
Tn5073	AF461013	Tn5073 is a 4.3-kb transposon, isolated from Klebsiella pneumoniae strain M426. It contains mercury operon (merRTPCAD genes) and is most closely related to Tn5036 and Tn1696.	Essa, A. M. M., et al. (2003). Mercury Resistance Determinants Related to Tn21, Tn1696, and Tn5053 in Enterobacteria from the Preantibiotic Era. Antimicrobial Agents and Chemotherapy, 47(3), 1115–1119. DOI: 10.1128/AAC.47.3.1115-1119.2003
Tn5074	AF461012	Tn5074 is isolated from Morganella morganii strain M567. It contains mercury operon (merRTPFADE genes) and is most closely related to Tn5053.	Essa, A. M. M., et al. (2003). Mercury Resistance Determinants Related to Tn21, Tn1696, and Tn5053 in Enterobacteria from the Preantibiotic Era. Antimicrobial Agents and Chemotherapy, 47(3), 1115–1119. DOI: 10.1128/AAC.47.3.1115-1119.2003
Tn5075	AF457211	Tn5075 is an 11.2-kb transposon, isolated from Escherichia coli strain M634. It contains mercury operon (merRTPCADE genes) and is most closely related to Tn21 but lacks integron In2 and is flanked by IS5075 elements.	Essa, A. M. M., et al. (2003). Mercury Resistance Determinants Related to Tn21, Tn1696, and Tn5053 in Enterobacteria from the Preantibiotic Era. Antimicrobial Agents and Chemotherapy, 47(3), 1115–1119. DOI: 10.1128/AAC.47.3.1115-1119.2003
Tn5083	Y18009	Tn5083 is isolated from Bacillus megaterium MK64-1. It contains merA, merB and merR genes, conferring mercury resistance.	Bogdanova E, et al. (2001) Class II broad-spectrum mercury resistance transposons in Gram-positive bacteria from natural environments. Res Microbiol 152: 503-514. DOI: 10.1016/S0923-2508(01)01224-4
Tn5084	AB066362	Tn5084 is isolated from Bacillus cereus RC607. It contains merAPTE, merB (1,2 and 3) and merR (1 and 2) genes, conferring mercury resistance.	Bogdanova E, et al. (2001) Class II broad-spectrum mercury resistance transposons in Gram-positive bacteria from natural environments. Res Microbiol 152: 503-514. DOI: 10.1016/S0923-2508(01)01224-4
Tn5085	Y17750|Y17751|Y17752	Tn5084 is an 11.8-kb transposon, found on a plasmid pKLH3 from Exiguobacterium sp TC38-2b. It contains merAPTE, merB (1,2 and 3) and merR (1 and 2) genes, conferring mercury resistance. It is similar to Tn5084 with differences in the res region and the tnpR gene	Bogdanova E, et al. (2001) Class II broad-spectrum mercury resistance transposons in Gram-positive bacteria from natural environments. Res Microbiol 152: 503-514. DOI: 10.1016/S0923-2508(01)01224-4
Tn5086	X58425	Tn5086 is a 15.3-kb transposon, isolated from a plasmid pLMO27. It contains mer operon and integron (containing trimethoprim resistance gene dhfrVII cassette and sul1 gene). It is closely related to Tn21, which contains aad41 gene cassette instead.	Sundström, L., Swedberg, G., & Sköld, O. (1993). Characterization of transposon Tn5086, carrying the site-specifically inserted gene dhfrVII mediating trimethoprim resistance. Journal of Bacteriology, 175(6), 1796–1805. DOI: 10.1128/jb.175.6.1796-1805.1993
Tn5090	X72585	Tn5090 is located on plasmid R751 from Klebsiella aerogenes, which is similar to Tn21 and Tn5086. It contains an integron (carrying dhfrIIc-containing gene cassette and qacE gene).	Rådström, P. et al. (1994). Transposon Tn5090 of plasmid R751, which carries an integron, is related to Tn7, Mu, and the retroelements. Journal of Bacteriology, 176(11), 3257–3268. DOI: 10.1128/jb.176.11.3257-3268.1994
Tn5096	NA	Tn5096 is a 3.0-kb transposon, which is constructed for a transposon mutagenesis in Streptomyces species. It is constructed based on IS493 by cloning apramycin resistance genes between ORF-A and ORF-B of IS493.	Baltz RH, Hahn DR, McHenney MA & Solenberg PJ (1992) Transposition of Tn5096 and related transposons in Streptomyces species. Gene 115: 61-65. DOI: 10.1016/0378-1119(92)90541-V
Tn5097	NA	Tn5097 is a 3.0-kb transposon, which is constructed for a transposon mutagenesis in Streptomyces species. It is constructed based on IS493 same as Tn5096, but its apramycin an apramycin resistance gene is inserted in different orientations.	Hahn DR, Solenberg PJ, McHenney MA & Baltz RH (1991) Transposition and transduction of plasmid DNA in Streptomyces spp. Journal of industrial microbiology 7: 229-234. PMID: 1369329
Tn5098	NA	Tn5098 is a derivative of Tn5086 with a size of 5.3-kb. It is modified from Tn5096 to insert a second copy of the tylosin production genes into Streptomyces fradiae to improve tylosin (Ty) production, by inserting tylJ and tylF genes in Tn5096.	Solenberg PJ, et al. (1996) Transposition mutagenesis in Streptomyces fradiae: identification of a neutral site for the stable insertion of DNA by transposon exchange. Gene 168: 67-72. DOI: 10.1016/0378-1119(95)00765-2
Tn5099	NA	Tn5099 is a 4.4-kb transposon, which is constructed as a promoter probe transposon for Streptomyces spp. It is constructed by inserting a promoterless xylE reporter gene and a hygromycin resistance gene into IS493	Hahn, D. R., Solenberg, P. J., & Baltz, R. H. (1991). Tn5099, a xylE promoter probe transposon for Streptomyces spp. Journal of Bacteriology, 173(17), 5573–5577. DOI: 10.1128/jb.173.17.5573-5577.1991
Tn5251	FJ711160.1	Tn5251 belongs to the Tn916-Tn1545 family of conjugative transposons. It is 18.03 kb in size and confers resistance to teracycline via a tet(M) gene. The Tn5251 is located within another composite conjugative transposon, Tn5253 (64.5 kb) of Streptococcus pneumoniae.	Provvedi, R., Manganelli, R., & Pozzi, G. (1996). Characterization of conjugative transposon Tn5251 of Streptococcus pneumoniae. FEMS Microbiology Letters, 135(2-3), 231-236. DOI: https://doi.org/10.1016/0378-1097(95)00455-6 Santoro, F., Oggioni, M. R., Pozzi, G., & Iannelli, F. (2010). Nucleotide sequence and functional analysis of the tet (M)-carrying conjugative transposon Tn 5251 of Streptococcus pneumoniae. FEMS Microbiology Letters, 308(2), 150-158. DOI: https://doi.org/10.1111/j.1574-6968.2010.02002.x
Tn5252	NA	Tn5252 is a 47.5 kb streptococcal conjugative transposon carrying a chloramphenicol resistrance determinant. The Tn5252 is actually the sequence beyond Tn5251 within Tn5253.	Ayoubi, P., Kilic, A. O., & Vijayakumar, M. N. (1991). Tn5253, the pneumococcal omega (cat tet) BM6001 element, is a composite structure of two conjugative transposons, Tn5251 and Tn5252. Journal of Bacteriology,173(5), 1617-1622. DOI: 10.1128/jb.173.5.1617-1622.1991 Vijayakumar, M. N., & Ayalew, S. A. H. L. U. (1993). Nucleotide sequence analysis of the termini and chromosomal locus involved in site-specific integration of the streptococcal conjugative transposon Tn5252. Journal of Bacteriology, 175(9), 2713-2719. DOI: 10.1128/jb.175.9.2713-2719.1993 Kilic, A. O., Vijayakumar, M. N., & Al-Khaldi, S. F. (1994). Identification and nucleotide sequence analysis of a transfer-related region in the streptococcal conjugative transposon Tn5252. Journal of Bacteriology, 176(16), 5145-5150. DOI: 10.1128/jb.176.16.5145-5150.1994
Tn5253	EU351020.1	Tn5253 is a 64.52 kb conjugative transposon of Streptococcus pneumoniae carrying the cat and tet(M) genes. It contains 79 open reading frames. Two distinct genetic elements were found integrated into Tn5253: Tn5251 (18.03 kb) and Ωcat(pC194) (7.6 kb).  The Tn5253 was originally detected in the chromosome of Streptococcus pneumoniae BM6001.	Ayoubi, P., Kilic, A. O., & Vijayakumar, M. N. (1991). Tn5253, the pneumococcal omega (cat tet) BM6001 element, is a composite structure of two conjugative transposons, Tn5251 and Tn5252. Journal of Bacteriology,173(5), 1617-1622. DOI: 10.1128/jb.173.5.1617-1622.1991 Iannelli, F., Santoro, F., Oggioni, M. R., & Pozzi, G. (2013). Nucleotide sequence analysis of integrative conjugative element Tn5253 of Streptococcus pneumoniae. Antimicrobial Agents and Chemotherapy, AAC-01764. DOI: 10.1128/AAC.01764-13
Tn5271	NA	Tn5271 is a 17 kb transposon located the plasmid or chromosome of Alcaligenes sp. strain BR60. This tarnsposon carries gene(s) that can degrade 3- and 4-chlorobenzoate.	Nakatsu, C., Ng, J., Singh, R., Straus, N., & Wyndham, C. (1991). Chlorobenzoate catabolic transposon Tn5271 is a composite class I element with flanking class II insertion sequences. Proceedings of the National Academy of Sciences, 88(19), 8312-8316. PMCID: PMC52498
